SrNo,Company,Package,Count
1,FINIQ,9,7
2,TIAA,8,5
3,Persistent,4.71,17
4,NCDEX(Nemi-National Stock Exchange of India),4.5,6
5,Persistent,4.71,12
6,Pratiti,4.75,1
7,Mindstix Software,4.6,1
8,eQ Technologies,12,1
9,Birlasoft,3.5,4
10,KPIT,3.5,1
11,Digitech,,0
12,Uptycs,,0
13,Infogen,,1
14,Teito Evry,4.5,3
15,Capgemini,4,16
16,Bosch,5,9
17,G S Labs,1,1
18,InfitiQ,3.5,2
19,Josh Software,7.5,2
20,NVIDIA,15.6,5
21,Winjit,5,3
22,Hexaware,3.5,1
23,TCS,3.5,14
24,Wipro,3.5,27
25,Accolite digital,5,1
26,Coditas Solutions ,6,2
27,Insnapsys,3.25,1
28,Mindtree,4,1
29,Perennial,3.5,4
30,Altimetrik,5.5,3
31,Zensar,3.5,3
32,Cybage,4.5,2
33,Emerson,5,1
34,Vegayan,3.5,3
35,Infovision Labs,5.5,1
36,Ugam Solutions,5,1
37,Infosys,3.5,8
38,Amdocs,5.2,1
39,Merce,4.8,2
40,Adani Group,6,1
